name,cards.nodes.note,cards.nodes.content.id,cards.nodes.content.number,cards.nodes.content.title,cards.nodes.content,cards.pageInfo.hasNextPage,cards.pageInfo.endCursor,cards.totalCount
Done 🥳,"OSCIF Migration, Part 1 of 1000000 @zkoppert @chocrates

https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/534",MDU6SXNzdWU2Nzc3NzY4MTM=,699,Create introduction slides for Communities of Practice meeting,,,,
Done 🥳,"OSCIF Migration, Part 1 of 1000000 @zkoppert @chocrates

https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/534",MDU6SXNzdWU2MzQ3NTg5Njc=,406,Determine best ways to determine user engagement,,,,
Done 🥳,"OSCIF Migration, Part 1 of 1000000 @zkoppert @chocrates

https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/534",MDU6SXNzdWU2NDUwMjAzNTg=,539,Document PII removal process,,,,
Done 🥳,"OSCIF Migration, Part 1 of 1000000 @zkoppert @chocrates

https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/534",MDU6SXNzdWU2NTI1MzIxNzA=,578,Revise GitHub Diagram,,,,
Done 🥳,"OSCIF Migration, Part 1 of 1000000 @zkoppert @chocrates

https://github.com/department-of-veterans-affairs/transition-to-GitHub/issues/534",MDU6SXNzdWU2NjY0NjQxNzk=,646,Record security webinar: security policy and advisories,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/38,MDU6SXNzdWU2NjY0NjQxNzk=,646,Record security webinar: security policy and advisories,,,,
Done 🥳,Check for readiness to migrate: https://github.com/department-of-veterans-affairs/product-lines-engagement/issues/18,MDU6SXNzdWU2NjY0NjQxNzk=,646,Record security webinar: security policy and advisories,,,,
Done 🥳,Check for readiness to migrate: https://github.com/department-of-veterans-affairs/product-lines-engagement/issues/18,MDU6SXNzdWU2NjQ2OTA4NjM=,636,Actions Hackathon at the VA,,,,
Done 🥳,Check for readiness to migrate: https://github.com/department-of-veterans-affairs/product-lines-engagement/issues/18,MDU6SXNzdWU2MjY2Mzk1Njc=,379,Create Survey Templates ,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/39,MDU6SXNzdWU2MjY2Mzk1Njc=,379,Create Survey Templates ,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/39,MDU6SXNzdWU2NTQyMTUxNzI=,587,All new repositories to have enabled security features by default,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/39,MDU6SXNzdWU2OTAyNzcyNDk=,769,Mission: Onboard Thomas,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/39,MDU6SXNzdWU2NTQzMzM1NDc=,593,User tutorial/training on the Export Issues project,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/39,MDU6SXNzdWU2NjY0NjQxMTQ=,645,Record security webinar: dependabot alerts,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/39,MDU6SXNzdWU2ODMwMjU4MDU=,732,Team post: FOIA VistA case study,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/39,MDU6SXNzdWU2NDgzNTUyMjc=,561,Offer services to VAEC admins,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/39,MDU6SXNzdWU2ODczNjE5NDE=,757,Evaluate the 75-ish RTC repositories for source code use,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/40,MDU6SXNzdWU2ODczNjE5NDE=,757,Evaluate the 75-ish RTC repositories for source code use,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-user-requests/issues/4168,MDU6SXNzdWU2ODczNjE5NDE=,757,Evaluate the 75-ish RTC repositories for source code use,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/20,MDU6SXNzdWU2ODczNjE5NDE=,757,Evaluate the 75-ish RTC repositories for source code use,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/20,MDU6SXNzdWU2MzQ3NDQ2OTE=,402,Gather Organization Storage Usage,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/30,MDU6SXNzdWU2MzQ3NDQ2OTE=,402,Gather Organization Storage Usage,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/30,MDU6SXNzdWU2NDk5ODQ4NzI=,566,VAEC GitHub Enterprise Server configuration & architecture,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/30,MDU6SXNzdWU2OTIyODUyNDg=,778,TRM Migration,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2OTIyODUyNDg=,778,TRM Migration,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2NjY0NjQwNzk=,644,Record security webinar: code scanning alerts,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/github-exporter/issues/34,MDU6SXNzdWU2NDA3OTQ4MzA=,514,Roadmap Review action item from #511,,,,
